Age,Hours per day,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Primary streaming service_Apple Music,Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,While working_No,While working_Yes,Instrumentalist_No,Instrumentalist_Yes,Composer_No,Composer_Yes,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Exploratory_No,Exploratory_Yes,Foreign languages_No,Foreign languages_Yes,Music effects_Improve,Music effects_No effect,Music effects_Worsen
-0.7528779863600933,-0.22922566052604276,-1.1918268158134846,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,1.0,0.6000000000000001,0.8,1.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.5815845774358643,-0.5544099618527487,1.3814468883219326,2,1,1,3,1,1,1,3,0,2,0,3,2,2,2,0,0.7000000000000001,0.4,0.2,0.5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
-0.9241713952843222,2.6974330514143103,0.3824112149517119,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,0.8,0.6000000000000001,1.0,0.5,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.5815845774358643,0.7463272434540749,-0.6771720749864012,2,1,1,1,1,2,2,0,0,0,0,3,2,2,0,0,0.30000000000000004,0.2,0.1,0.2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
-0.6672312818979788,-0.5544099618527487,0.07967313211225101,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,0.6000000000000001,0.6000000000000001,0.4,0.5,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
-0.6672312818979788,-0.8795942631794545,1.8052802042971778,1,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,0.8,0.2,0.1,0.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
-0.4959378729737498,-0.5544099618527487,-0.10196971759142551,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,0.4,0.4,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-0.6672312818979788,0.09595864080066312,0.5640540646553884,1,1,1,3,0,2,1,1,0,1,1,3,1,2,3,1,0.5,0.6000000000000001,0.6000000000000001,0.1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.7528779863600933,-0.8795942631794545,-1.4642910903689994,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-0.5815845774358643,0.421142942127369,-0.10196971759142551,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,0,0.30000000000000004,0.2,0.1,0.1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
-0.3246444640495208,0.09595864080066312,-1.0404577743937542,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,0.6000000000000001,0.8,0.0,0.2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
0.10358905826105169,-1.0421864138428074,0.5035064480874962,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,0.9,0.8,0.1,0.0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
-0.4102911685116353,0.09595864080066312,1.139256422050364,1,1,3,2,1,2,1,2,0,2,1,3,3,2,3,1,0.7000000000000001,0.2,0.8,0.6000000000000001,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.1533510551252918,-0.5544099618527487,-1.312922048949269,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,0.4,0.2,0.30000000000000004,0.4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
-0.5815845774358643,0.421142942127369,0.20076836524803535,3,0,0,2,0,2,2,1,0,2,3,2,1,2,3,2,0.7000000000000001,0.6000000000000001,0.5,0.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
1.045702807344311,-1.123482489174484,0.7154231060751188,3,1,0,1,0,1,2,0,1,0,0,3,2,0,2,2,0.30000000000000004,0.2,1.0,0.0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
-0.6672312818979788,-0.22922566052604276,-0.10196971759142551,3,0,3,0,0,3,2,2,1,2,0,2,3,3,1,2,0.6000000000000001,0.6000000000000001,0.8,0.2,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.5815845774358643,0.09595864080066312,-1.4037434738011072,1,0,0,0,0,3,1,0,0,0,3,2,2,3,3,3,0.1,0.0,0.8,0.2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
-0.6672312818979788,-0.8795942631794545,-0.16251733415931768,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,0.7000000000000001,0.30000000000000004,0.1,0.5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0.9600561028821967,-0.8795942631794545,0.2613159818159275,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0.8,0.9,0.30000000000000004,0.0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-0.0677043506631773,-0.22922566052604276,-0.25333875901115593,1,0,1,2,0,0,0,1,0,3,1,2,0,0,3,2,0.9,0.6000000000000001,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.5815845774358643,0.421142942127369,1.0181611889145796,0,0,1,1,0,3,1,0,1,1,3,2,1,3,3,0,0.7000000000000001,0.9,0.5,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
-0.4959378729737498,-0.22922566052604276,-1.010183966109808,2,1,2,0,0,3,2,1,0,2,1,3,2,2,2,2,0.7000000000000001,0.4,0.2,0.4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
-0.6672312818979788,-0.5544099618527487,0.14022074868014317,0,1,3,0,0,1,0,0,1,1,3,2,2,2,3,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-0.7528779863600933,0.7463272434540749,1.3814468883219326,1,0,0,1,2,3,1,3,3,3,0,2,3,3,1,0,0.7000000000000001,0.8,0.7000000000000001,0.5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.1533510551252918,-0.8795942631794545,0.5035064480874962,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,1.0,0.6000000000000001,0.30000000000000004,1.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
-0.1533510551252918,2.6974330514143103,-0.8285411164061316,3,1,0,3,0,1,2,1,1,1,0,3,2,1,1,0,0.30000000000000004,0.7000000000000001,0.5,0.5,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
-0.2389977595874063,0.09595864080066312,0.07967313211225101,1,0,1,2,0,1,1,0,0,1,2,3,2,1,3,1,0.8,0.7000000000000001,0.4,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
-0.5815845774358643,0.7463272434540749,-0.979910157825862,1,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,0.8,0.6000000000000001,0.2,1.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
-0.1533510551252918,1.0715115447807808,-2.0697672560479212,1,3,0,3,3,2,1,0,1,0,2,2,1,1,1,2,0.6000000000000001,0.4,0.2,0.30000000000000004,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
-0.1533510551252918,-0.8795942631794545,-1.1615530075295386,2,2,2,1,0,1,2,1,1,3,0,2,3,1,2,3,0.7000000000000001,0.0,0.0,0.2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
